t,n_obstacles,max_obs_speed,min_obstacle_dist
97.94,2,0.0,2.187
98.226,2,0.0,2.184
98.339,2,0.0,2.185
98.449,2,0.0,2.185
98.564,2,0.0,2.2
98.674,2,0.0,2.181
98.759,2,0.0,2.181
98.873,2,0.0,2.217
99.0,2,0.0,2.202
99.056,2,0.0,2.198
99.468,2,0.0,2.165
99.576,2,0.0,2.183
99.763,2,0.0,2.173
99.822,3,0.0,2.167
99.928,3,0.0,2.167
99.988,3,0.0,2.187
100.481,3,0.0,2.22
100.71,3,0.0,2.183
100.836,3,0.0,2.183
100.95,2,0.0,2.209
101.15,3,0.0,2.185
101.368,2,0.0,2.222
101.484,3,0.0,2.2
101.614,2,0.0,2.191
101.79,2,0.0,2.191
101.939,2,0.0,2.192
101.995,2,0.0,2.184
102.115,2,0.0,2.187
102.26,2,0.0,2.187
102.473,2,0.0,2.184
102.738,2,0.0,2.192
102.881,2,0.0,2.182
103.007,2,0.0,2.185
103.297,2,0.0,2.204
103.659,2,0.0,2.214
103.782,2,0.0,2.18
103.901,2,0.0,2.182
104.055,2,0.0,2.182
104.146,2,0.0,2.162
104.203,2,0.0,2.187
104.259,2,0.0,2.202
104.428,2,0.0,2.206
104.666,2,0.0,2.185
104.855,2,0.0,2.205
104.943,2,0.0,2.205
105.033,2,0.0,2.205
105.095,2,0.0,2.183
105.217,2,0.0,2.199
105.275,2,0.0,2.199
105.412,2,0.0,2.199
105.487,2,0.0,2.199
105.589,2,0.0,2.204
105.702,2,0.0,2.222
105.789,2,0.0,2.222
105.98,2,0.0,2.207
106.106,2,0.0,2.207
106.221,2,0.0,2.209
106.4,2,0.0,2.209
106.681,2,0.0,2.197
106.793,2,0.0,2.178
106.925,2,0.0,2.194
107.043,2,0.0,2.199
107.144,2,0.0,2.199
107.199,2,0.0,2.193
107.286,2,0.0,2.193
107.398,2,0.0,2.185
107.511,2,0.0,2.182
107.634,2,0.0,2.182
107.946,2,0.0,2.175
108.119,2,0.0,2.175
108.243,2,0.0,2.181
108.367,2,0.0,2.177
108.527,2,0.0,2.199
108.583,2,0.0,2.196
108.696,2,0.0,2.19
109.139,2,0.0,2.187
109.252,2,0.0,2.195
109.543,2,0.0,2.202
109.696,2,0.0,2.202
109.908,2,0.0,2.212
110.064,2,0.0,2.192
110.118,2,0.0,2.197
110.232,2,0.0,2.211
110.357,2,0.0,2.211
110.54,2,0.0,2.215
110.659,2,0.0,2.183
111.031,2,0.0,2.187
111.151,2,0.0,2.211
111.411,2,0.0,2.211
111.542,2,0.0,2.199
111.721,2,0.0,2.177
111.963,2,0.0,2.191
112.075,2,0.0,2.203
112.196,2,0.0,2.213
112.286,2,0.0,2.213
112.408,2,0.0,2.204
112.465,2,0.0,2.204
112.639,2,0.0,2.187
112.746,2,0.0,2.187
112.811,2,0.0,2.203
113.125,2,0.0,2.223
113.242,2,0.0,2.211
113.385,2,0.0,2.195
113.53,2,0.0,2.195
113.647,2,0.0,2.205
113.845,2,0.0,2.221
114.126,2,0.0,2.213
114.245,2,0.0,2.193
114.351,2,0.0,2.214
114.482,2,0.0,2.214
114.536,2,0.0,2.205
114.648,2,0.0,2.212
114.754,2,0.0,2.212
114.862,2,0.0,2.212
114.953,2,0.0,2.197
115.081,2,0.0,2.197
115.206,2,0.0,2.197
115.338,2,0.0,2.19
115.459,2,0.0,2.198
115.56,2,0.0,2.198
115.679,2,0.0,2.211
115.792,2,0.0,2.209
115.943,2,0.0,2.209
116.124,2,0.0,2.197
116.178,2,0.0,2.197
116.292,2,0.0,2.199
116.41,2,0.0,2.203
116.467,2,0.0,2.188
116.591,2,0.0,2.202
116.798,2,0.0,2.202
116.952,2,0.0,2.197
117.011,2,0.0,2.197
117.341,2,0.0,2.18
117.45,2,0.0,2.187
117.776,2,0.0,2.188
117.883,2,0.0,2.188
118.045,2,0.0,2.187
118.279,2,0.0,2.183
118.391,2,0.0,2.199
118.663,2,0.0,2.204
118.777,2,0.0,2.201
118.89,3,0.0,2.2
118.977,3,0.0,2.2
119.253,2,0.0,2.202
119.409,2,0.0,2.206
119.48,2,0.0,2.206
119.591,2,0.0,2.206
119.708,2,0.0,2.21
119.784,2,0.0,2.207
119.881,2,0.0,2.206
120.046,2,0.0,2.205
